Project_id,Project_title,Project_objective,Project_content,Project_lat,Project_lon,Project_pic,url,Project_Keyword
1,โครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒,เพื่อแก้ไขปัญหาและช่วยเหลือราษฎรที่อาศัยอยู่ในหมู่บ้านที่ได้รับผลกระทบจากเหตุการณ์ความไม่สงบเรียบร้อย ใน ๓ จังหวัดชายแดนภาคใต้,"เมื่อวันที่ ๓ กุมภาพันธ์ พุทธศักราช ๒๕๕๐ พระบาทสมเด็จพระเจ้าอยู่หัว มีพระราชดำริ ให้แก้ไขปัญหาและช่วยเหลือราษฎรที่อาศัยอยู่ในหมู่บ้านที่ได้รับผลกระทบจากเหตุการณ์ความไม่สงบเรียบร้อย ใน ๓ จังหวัดชายแดนภาคใต้ (จังหวัดปัตตานี ยะลา และนราธิวาส) และได้อพยพไปอาศัยอยู่ที่วัดนิโรธสังฆาราม อำเภอเมือง จังหวัดยะลา เนื่องจากหวาดกลัวและไม่กล้าที่จะอยู่อาศัยในหมู่บ้านเดิม 
พระบาทสมเด็จพระเจ้าอยุ่หัว พระราชทานแนวทางการช่วยเหลือราษฎรเพื่อจัดที่อยู่อาศัย โครงสร้างพื้นฐาน และเส้นทางคมนาคมให้แก่ราษฎรที่ได้รับผลกระทบจากเหตุการณ์ความไม่สงบใน ๓ จังหวัดชายแดนภาคใต้ โดยได้พระราชทานชื่อโครงการว่า โครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒ และพระราชทานวัตถุประสงค์ ๔ ประการ คือ
๑) ความปลอดภัยและมั่นคงในชีวิต
๒) ครอบครัวอบอุ่น คุณภาพชีวิตที่สดใสและสมบูรณ์
๓) ทำมาหากิน และมีที่ทำกินที่ดี มีกิจกรรมเสริมอาชีพที่เหมาะสม
๔) ได้รับการดูแลเรื่องสุขภาพอนามัย และการศึกษาของเยาวชนและลูกหลานที่เหมาะสม
ผลจากการดำเนินโครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒ ทำให้ราษฎรในพื้นที่มีความรัก ความสามัคคี อยู่ดีมีความสุขและความร่มเย็น และด้วยสำนึกในพระมหากรุณาธิคุณอย่างหาที่สุดมิได้ ราษฎรในหมู่บ้านได้พร้อมใจกันกล่าวปฏิญาณตนว่า จะจงรักภักดีต่อชาติ ศาสนา พระมหากษัตริย์ และจะประพฤติตนเป็นพลเมืองที่ดี และเสริมสร้างความสมานฉันท์ เพื่อให้หมู่บ้านสันติ ๒ เป็นต้นแบบหมู่บ้านชุมชนเข้มแข็งและร่มเย็นตลอดไป 
",6.088055196,101.3216295,ชุมชนเข้มแข้ง(ยะลา),C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\ชุมชนเข้มแข้ง(ยะลา).jpg,#โครงการเพื่อชุมชนเข้มแข็งและร่มเย็นบ้านสันติ ๒
2,โครงการพัฒนาอาชีพการเกษตรพื้นที่พรุแฆแฆอันเนื่องมาจากพระราชดำริ  (กิจกรรมขยายเขตไฟฟ้าและจัดหารถฟาร์มแทรกเตอร์),เพื่อช่วยเหลือเกษตรกรในการพัฒนาอาชีพ โดยขยายเขตไฟฟ้ามายังโครงการ และจัดหารถฟาร์ม แทรกเตอร์พร้อมอุปกรณ์ เพื่อบริการเกษตรกรในการบุกเบิกปรับพื้นที่เตรียมดินในการปลูกพืช,"เมื่อวันที่ ๑๖ กันยายน พุทธศักราช ๒๕๔๖  พระบาทสมเด็จพระเจ้าอยู่หัว มีพระราชดำริ ให้ช่วยเหลือเกษตรกรในการพัฒนาอาชีพ โดยขยายเขตไฟฟ้ามายังโครงการ และจัดหารถฟาร์ม แทรกเตอร์พร้อมอุปกรณ์ เพื่อบริการเกษตรกรในการบุกเบิกปรับพื้นที่เตรียมดินในการปลูกพืช การดำเนินงาน พัฒนาอาชีพการเกษตร โดยขยายเขตไฟฟ้าและจัดหารถฟาร์มแทรกเตอร์พร้อมอุปกรณ์ เพื่อบริการเกษตรกรโดยการขยายเขตไฟฟ้าเข้าพื้นที่โครงการ และปักเสาคอนกรีตอัดแรงขนาด ๙ เมตร จำนวน ๙๕ ต้น พาดสายอะลูมิเนียมเปลือยและหุ้มฉนวน ขนาด ๖๐ ตารางมิลลิเมตร ระบบ ๑ เฟส ๓ สาย ระยะทาง ๗,๖๒๒ เมตรพร้อมอุปกรณ์ยึดโยง จำนวน ๕๐ ชุด และจัดหารถฟาร์มแทรกเตอร์พร้อมอุปกรณ์ จำนวน ๑ คัน ทำให้ราษฎรจำนวน ๑๓๘ ราย มีไฟฟ้าเพื่อช่วย อำนวยความสะดวกในการสูบน้ำ เพื่อใช้ทำการเกษตรพื้นที่รวม ๑,๐๐๐ ไร่ ทำให้ราษฎร จำนวน ๗ หมู่บ้านประชากร ๒๕๒ ครัวเรือน มีรถฟาร์มแทรกเตอร์สำหรับใช้ในการปรับปรุงพื้นที่ทำการเกษตร  จำนวน ๑,๐๐๐ ไร่
ผลการดำเนินงาน ปี ๒๕๔๗ จังหวัด ปัตตานี ได้ ดำเนิน การ ขยาย เขต ไฟฟ้า เข้า พื้นที่ โครงการ ฯ โดย การ ปัก เสา คอนกรีตอัดแรง ขนาด ๔ เมตร จำนวน ๔๕ ต้น พาด สาย อ ลู มิ เนียม เปลือย และ หุ้ม ฉนวน ขนาด 50 ตาราง มิลลิเมตร ระบบ ๑ เฟส ๓ สาย ระยะ ทาง ๗,๖๒๒ เมตร พร้อม อุปกรณ์ ยึด โยง จำนวน ๕๐ ชุด และ จัดหา รถ ฟาร์ม แทรกเตอร์ พร้อม อุปกรณ์ จำนวน 5 คัน
",6.70173645,101.6174345,เกษตร,C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\เกษตร.jpg,#โครงการพัฒนาอาชีพเกษตรพื้นที่พรุแฆแฆ
3,โครงการจัดหาน้ำให้ราษฎรบ้านตะเหลียง,เพื่อช่วยเหลือราษฎรบ้านตะเหลียงในเรื่องระบบไฟฟ้า ถนน และระบบส่งน้ำเพื่อการเกษตร,"เมื่อวันที่ 13 กันยายน 2546 สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง เสด็จพระราชดำเนินพร้อมด้วยพระบาทสมเด็จพระเจ้าอยู่หัว ไปยังหมู่บ้านปศุสัตว์ - เกษตรมูโนะ หมู่ที่ 4 ตำบลโฆษิต อำเภอตากใบ จังหวัดนราธิวาส เพื่อทรงงานศิลปาชีพและเยี่ยมเยียนราษฎร ในการนี้พระบาทสมเด็จพระเจ้าอยู่หัว ได้มีพระราชกระแสให้ดำเนินการช่วยเหลือราษฎรบ้านตะเหลียงในเรื่องระบบไฟฟ้า ถนน และระบบส่งน้ำเพื่อการเกษตร ตามที่นายลือแม เจ๊ะสาแลแม ผู้ใหญ่บ้านตะเหลียง หมู่ที่ 4 ตำบลเกาะสะท้อน อำเภอตากใบ ขอพระราชทานความช่วยเหลือ
         กรมชลประทานจึงได้ดำเนินตามแนวพระราชดำริเป็นโครงการส่งน้ำและบำรุงรักษาลุ่มน้ำโก-ลก จังหวัดนราธิวาส เป็นคลองดิน ต่อมาในปี 2547 ได้ดำเนินการปรับปรุงให้เป็นคลองดาดคอนกรีต รวมทั้งสิ้น 2 สาย สามารถช่วยเหลือราษฎรที่ประสบปัญหาน้ำท่วมในฤดูฝน ตลอดจนช่วยเหลือเกษตรกรที่ขาดแคลนน้ำเพื่อการเกษตร  อุปโภค  บริโภคในฤดูแล้ง ปัญหาน้ำเค็มรุกล้ำตามลำน้ำ และปัญหาน้ำเปรี้ยวจากพรุโต๊ะแดง และประชาชนบริเวณรอบ ๆ และใกล้เคียงพื้นที่โครงการก็ได้รับประโยชน์โครงการดังกล่าวด้วย ไม่ว่าจะเป็นเรื่องได้มีน้ำในการอุปโภค  บริโภค ทำการเกษตรในพื้นที่แปลงเกษตรผสมผสานบ้านปูยู ตำบลเกาะสะท้อง  พื้นที่แปลงเกษตรบ้านปศุสัตว์  เกษตรมูโนะ ตำบลโฆษิต สถานีสูบน้ำช่วยเหลือพื้นที่การเกษตร โครงการเกษตรผสมผสานมูโนะ ตำบลมูโนะ อำเภอสุไหงโก-ลก จังหวัดนราธิวาส
ขอบคุณข้อมูลจาก สำนักงานชลประทานที่ 6 กรมชลประทาน",6.203296348,102.0612676,น้ำ,C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\น้ำ.jpg,#โครงการจัดหาน้ำให้ราษฎรบ้านตะเหลียง
4,โครงการเกษตรวิชญา,เพื่อดำเนินการในลักษณะคลินิกเกษตร เผยแพร่ผลงานวิจัยและเทคโนโลยีการเกษตรจากศูนย์ศึกษาการพัฒนาห้วยฮ่องไคร้  อันเนื่องมาจากพระราชดำริ ในรูปแบบของศูนย์บริการและถ่ายทอดเทคโนโลยีชุมชน และเป็นศูนย์ฝึกอบรมและวิจัยพัฒนาการเกษตรให้เหมาะสมกับพื้นที่,"โครงการเกษตรวิชญา หนึ่งโครงการตามแนวพระราชดำริของพระบาทสมเด็จพระอยู่หัว (รัชกาลที่ 10) ตำบลโป่งแยงอำเภอแม่ริม จังหวัดเชียงใหม่
     โครงการเกษตรวิชญา ตำบลโป่งแยง อำเภอแม่ริม จังหวัดเชียงใหม่ เป็นโครงการตามแนวพระราชดำริพระบาทสมเด็จพระเจ้าอยู่หัว (รัชกาลที่ 10) เมื่อครั้งดำรงพระราชอิสริยยศ สมเด็จพระบรมโอรสาธิราชฯ สยามมกุฎราชกุมาร เพื่อเรียนรู้ตามรอยพระยุคลบาทในพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และทรงเห็นความสำคัญของการเกษตร เมื่อวันที่ 21 ธันวาคม 2544 จึงมีพระราชดำริมอบที่ดินส่วนพระองค์ในพื้นที่บ้านกองแหะ หมู่ 4 ตำบลโป่งแยง อำเภอแม่ริม จังหวัดเชียงใหม่ มีเนื้อที่ทั้งหมด จำนวน 1,350 ไร่ ให้กับกระทรวงเกษตรและสหกรณ์ เพื่อดำเนินการในลักษณะคลินิกเกษตร เผยแพร่ผลงานวิจัยและเทคโนโลยีการเกษตรจากศูนย์ศึกษาการพัฒนาห้วยฮ่องไคร้ 
อันเนื่องมาจากพระราชดำริ ในรูปแบบของศูนย์บริการและถ่ายทอดเทคโนโลยีชุมชน และเป็นศูนย์ฝึกอบรมและวิจัยพัฒนาการเกษตรให้เหมาะสมกับพื้นที่
     ผลการดำเนินโครงการทำให้ชาวบ้านได้เรียนรู้การผลิตและนำเชื้อเพลิงจากวัสดุชีวมวลมาใช้สอยในชีวิตประจำวันและพัฒนาเป็นแหล่งเรียนรู้ในท้องถิ่น ทำให้ปริมาณการใช้ไม้ฟืนจากป่าธรรมชาติลดลง ได้ใช้ประโยชน์จากพื้นที่วนเกษตรและธนาคารอาหารชุมชน 123 ไร่ ส่งผลให้ชาวบ้านเกิดความรักความหวงแหนทรัพยากรป่าไม้และเรียนรู้การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อมที่ยั่งยืน",18.85640265,98.80946375,วิชญา,C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\วิชญา.jpg,#โครงการเกษตรวิชญา
5,โครงการปรับปรุงอ่างเก็บน้ำห้วยต้นยางฯ,เพื่อแก้ไขปัญหาการขาดแคลนน้ำสำหรับอุปโภคบริโภค และทำการเกษตร,"ในหลวง ทรงพระกรุณาโปรดเกล้าฯ รับโครงการปรับปรุงอ่างเก็บน้ำห้วยต้นยางฯ เป็นโครงการอันเนื่องมาจากพระราชดำริ เพื่อบรรเทาความเดือดร้อนในการประกอบอาชีพของราษฎร พื้นที่อำเภอพาน จังหวัดเชียงราย
พระบาทสมเด็จพระเจ้าอยู่หัว ทรงพระกรุณาโปรดเกล้าฯ รับไว้เป็นโครงการอันเนื่องมาจากพระราชดำริ เมื่อวันที่ 1 มีนาคม 2560 ตามที่ราษฎรตำบลเจริญเมือง ขอพระราชทานความช่วยเหลือ เนื่องจากขาดแคลนน้ำสำหรับอุปโภคบริโภค และทำการเกษตร ทั้งนี้ คณะกรรมการพิเศษเพื่อประสานงานโครงการอันเนื่องมาจากพระราชดำริ (กปร.) ได้สนับสนุนงบประมาณ ให้กรมชลประทาน เมื่อปี 2562 เพื่อดำเนินการปรับปรุงอ่างเก็บน้ำห้วยต้นยางฯ โดยการเสริมทำนบดิน และปรับปรุงทางระบายน้ำล้น เพื่อเพิ่มความจุของอ่างเก็บน้ำจากเดิม 1,450,000 ลูกบาศก์เมตร เป็น 1,650,000 ลูกบาศก์เมตร 
ปัจจุบันสามารถส่งน้ำช่วยเหลือราษฎรในการอุปโภค บริโภคและการเกษตร ในการทำนาปลูกข้าวและปลูกพืชผัก ในช่วงฤดูฝน จำนวน 4,000 ไร่ และฤดูแล้ง จำนวน 1,000 ไร่ ส่งผลให้ประชาชนได้รับมีน้ำอุปโภคบริโภค และสามารถทำการเกษตรได้ตลอดทั้งปี ราษฎรมีผลผลิตและรายได้เพิ่มขึ้น นับเป็นพระมหากรุณาธิคุณนำมาซึ่งความปลาบปลื้มใจเป็นอย่างยิ่ง",19.6743879,99.79728068,ต้นยาง,C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\ต้นยาง).jpg,#โครงการปรับปรุงอ่างเก็บน้ำห้วยต้นยาง
6,เขื่อนแม่งัดสมบูรณ์ชล,เพื่อช่วยบรรเทาปัญหาอุทกภัยในพื้นที่จังหวัดเชียงใหม่ และช่วยเหลือพื้นที่เพาะปลูกในเขตโครงการด้านท้ายอ่างเก็บน้ำ,"เขื่อนแม่งัดสมบูรณ์ชลเป็นเขื่อนดิน เกิดขึ้นจากพระราชดำริของพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร เพื่อช่วยบรรเทาปัญหาอุทกภัยในพื้นที่จังหวัดเชียงใหม่ และช่วยเหลือพื้นที่เพาะปลูกในเขตโครงการด้านท้ายอ่างเก็บน้ำ รวมทั้งส่งน้ำสนับสนุนให้กับโครงการชลประทานแม่แฝก โครงการชลประทานแม่ปิงเก่า และฝายราษฎรตามลำน้ำแม่ปิงที่มีอยู่จำนวนมากได้ตลอดทั้งปี นอกจากนี้ ยังอำนวยประโยชน์ในการผลิตไฟฟ้าพลังน้ำ เป็นแหล่งประมง และการท่องเที่ยวที่สำคัญของจังหวัดอีกด้วย
สำหรับโครงการเพิ่มปริมาณน้ำในอ่างเก็บน้ำเขื่อนแม่กวงอุดมธารา ประกอบด้วย ๓ ส่วน คือ
๑) อุโมงค์ส่งน้ำช่วงแม่แตง  แม่งัด โดยก่อสร้างอุโมงค์ส่งน้ำจากลำน้ำแม่แตงมายังอ่างเก็บน้ำเขื่อนแม่งัดสมบูรณ์ชล  
๒) อุโมงค์ส่งน้ำช่วงแม่งัด  แม่กวง โดยก่อสร้างอุโมงค์ส่งน้ำเชื่อมต่อระหว่างเขื่อนแม่งัดสมบูรณ์ชลและอ่างเก็บน้ำเขื่อนแม่กวงอุดมธารา
๓) ระบบท่อส่งน้ำแม่งัด  แม่แตง ซึ่งเป็นการวางท่อส่งน้ำ โดยแรงโน้มถ่วงจากอ่างเก็บน้ำเขื่อนแม่งัดสมบูรณ์ชล มายังคลองสายใหญ่ฝั่งขวาของโครงการส่งน้ำและบำรุงรักษาแม่แตง 
เมื่อดำเนินการเสร็จแล้วจะแก้ไขปัญหาการขาดแคลนน้ำในพื้นที่ลุ่มน้ำแม่กวงอุดมธารา ซึ่งมีพื้นที่ใช้น้ำกว่า ๑๗๕,๐๐๐ ไร่ และสามารถปรับสมดุลน้ำทั้ง ๓ แหล่งน้ำเข้าด้วยกัน
ขอบคุณข้อมูลและภาพจาก สำนักงาน กปร.",19.17430943,99.03073925,แม่งัด,C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\แม่งัด.jpg,#เขื่อนแม่งัดสมบูรณ์ชล
7,โครงการพัฒนาพื้นที่บริเวณหนองอึ่ง,เพื่อแก้ปัญหาให้กับราษฎร จ.ยโสธรจำนวน ๗ หมู่บ้านได้อย่างบูรณาการ ครอบคลุม ตั้งแต่การพัฒนาแหล่งน้ำ การฟื้นฟูปรับปรุงดิน การบรรเทาอุทกภัย การเพิ่มผลผลิตและรายได้,"โครงการพัฒนาพื้นที่บริเวณหนองอึ่ง อันเนื่องมาจากพระราชดำริ เป็นโครงการที่สามารถแก้ปัญหาให้กับราษฎร จ.ยโสธรจำนวน ๗ หมู่บ้านได้อย่างบูรณาการ ครอบคลุม ตั้งแต่การพัฒนาแหล่งน้ำ การฟื้นฟูปรับปรุงดิน การบรรเทาอุทกภัย การเพิ่มผลผลิตและรายได้ การสร้างอาชีพใหม่ รวมทั้งการฟื้นฟูอนุรักษ์ป่าและทรัพยากรธรรมชาติ
โครงการนี้ เริ่มต้นขึ้นจากการเสด็จพระราชดำเนินของพระบรมราชชนนีพันปีหลวง พร้อมด้วยพระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว ขณะทรงดำรงพระอิสริยยศสมเด็จพระบรมโอรสาธิราชฯ สยามมกุฎราชกุมาร ไปทรงเยี่ยมราษฎรบ้านคำน้ำสร้าง ตำบลค้อเหนือ อำเภอเมืองยโสธร จังหวัดยโสธร เมื่อวันที่ ๒๘ พฤศจิกายน ๒๕๔๓ ซึ่งได้รับผลกระทบ จากน้ำท่วม ในการนี้ สมเด็จพระบรมราชชนนีพันปีหลวง ได้พระราชทานพระราชดำริให้หน่วยงาน ราชการต่าง ๆ พิจารณาช่วยเหลือเรื่องปากท้องของราษฎร ในพื้นที่ซึ่งเป็นหมู่บ้านยากจน
ราษฎรได้รับความรู้เพิ่มเติม และการสนับสนุนปัจจัยผลิตพื้นฐานด้านการประกอบอาชีพ มีการถ่ายทอดองค์ความรู้ด้านการจัดการทรัพยากรธรรมชาติไปสู่ประชาชน เพื่อช่วยเสริมสร้างความเข้มแข็งของเครือข่ายด้านการอนุรักษ์และการบริหารจัดการทรัพยากรธรรมชาติ
ขอบคุณข้อมูลจาก หนังสือเฉลิมพระเกียรติฯ รัชกาลที่ ๑๐",15.80709264,104.0301839,หนองอึ่ง,C:\Users\BHSBCD3\Desktop\งานร.10\รูปโครงการ\หนองอึ่ง.jpg,#โครงการพัฒนาพื้นที่บริเวณหนองอึ่ง
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
